Time,Motor 2 Angle (deg),Motor 1 Angle (deg),Wavelength(nm),Power (W)
2026-07-16 18:21:31.727799,-180,-180,1550.0,0.00821139757
2026-07-16 18:21:33.955079,-180,-175,1550.0,0.00889519788
2026-07-16 18:21:36.185611,-180,-170,1550.0,0.00906760711
2026-07-16 18:21:38.423844,-180,-165,1550.0,0.00867895223
2026-07-16 18:21:40.671201,-180,-160,1550.0,0.0078285886
2026-07-16 18:21:42.892547,-180,-155,1550.0,0.00652089575
2026-07-16 18:21:45.119111,-180,-150,1550.0,0.00498840865
2026-07-16 18:21:47.343375,-180,-145,1550.0,0.00340389973
2026-07-16 18:21:49.572146,-180,-140,1550.0,0.00197578105
2026-07-16 18:21:51.822139,-180,-135,1550.0,0.000905459514
2026-07-16 18:21:54.072238,-180,-130,1550.0,0.000183407945
2026-07-16 18:21:56.292340,-180,-125,1550.0,1.14601435e-05
2026-07-16 18:21:58.518756,-180,-120,1550.0,0.000412107474
2026-07-16 18:22:00.771946,-180,-115,1550.0,0.00129628833
2026-07-16 18:22:03.020381,-180,-110,1550.0,0.00250034523
2026-07-16 18:22:05.244407,-180,-105,1550.0,0.00404056814
2026-07-16 18:22:07.466825,-180,-100,1550.0,0.00561572239
2026-07-16 18:22:09.692258,-180,-95,1550.0,0.00710241683
2026-07-16 18:22:11.925105,-180,-90,1550.0,0.00822454784
2026-07-16 18:22:14.145684,-180,-85,1550.0,0.00890396349
2026-07-16 18:22:16.369925,-180,-80,1550.0,0.00906176399
2026-07-16 18:22:18.588438,-180,-75,1550.0,0.00869502407
2026-07-16 18:22:20.820839,-180,-70,1550.0,0.00780521054
2026-07-16 18:22:23.069884,-180,-65,1550.0,0.00653988961
2026-07-16 18:22:25.292545,-180,-60,1550.0,0.00497993128
2026-07-16 18:22:27.523267,-180,-55,1550.0,0.00343751651
2026-07-16 18:22:29.740621,-180,-50,1550.0,0.00202708296
2026-07-16 18:22:31.971984,-180,-45,1550.0,0.000851088378
2026-07-16 18:22:34.220506,-180,-40,1550.0,0.000179674142
2026-07-16 18:22:36.442267,-180,-35,1550.0,1.30435792e-05
2026-07-16 18:22:38.670645,-180,-30,1550.0,0.000371987349
2026-07-16 18:22:40.894788,-180,-25,1550.0,0.0012207242
2026-07-16 18:22:43.122659,-180,-20,1550.0,0.0025316237
2026-07-16 18:22:45.342846,-180,-15,1550.0,0.00405050628
2026-07-16 18:22:47.575991,-180,-10,1550.0,0.00566249294
2026-07-16 18:22:49.820060,-180,-5,1550.0,0.0070585832
2026-07-16 18:22:52.043000,-180,0,1550.0,0.00820409227
2026-07-16 18:22:54.261486,-180,5,1550.0,0.00889373571
2026-07-16 18:22:56.485208,-180,10,1550.0,0.00907199178
2026-07-16 18:22:58.722188,-180,15,1550.0,0.00869502407
2026-07-16 18:23:00.969752,-180,20,1550.0,0.00779936463
2026-07-16 18:23:03.187134,-180,25,1550.0,0.00649897801
2026-07-16 18:23:05.421752,-180,30,1550.0,0.00503035588
2026-07-16 18:23:07.668456,-180,35,1550.0,0.00345081673
2026-07-16 18:23:09.882580,-180,40,1550.0,0.00198878907
2026-07-16 18:23:12.123615,-180,45,1550.0,0.000901220832
2026-07-16 18:23:14.341480,-180,50,1550.0,0.00019374548
2026-07-16 18:23:16.569064,-180,55,1550.0,4.84434395e-06
2026-07-16 18:23:18.791599,-180,60,1550.0,0.000355309632
2026-07-16 18:23:21.017999,-180,65,1550.0,0.00120771606
2026-07-16 18:23:23.234614,-180,70,1550.0,0.00245825178
2026-07-16 18:23:25.471922,-180,75,1550.0,0.00399204297
2026-07-16 18:23:27.722845,-180,80,1550.0,0.00550829526
2026-07-16 18:23:29.940761,-180,85,1550.0,0.0070337439
2026-07-16 18:23:32.169150,-180,90,1550.0,0.00818509795
2026-07-16 18:23:34.421042,-180,95,1550.0,0.00887035765
2026-07-16 18:23:36.669326,-180,100,1550.0,0.00906468555
2026-07-16 18:23:38.888471,-180,105,1550.0,0.00868479814
2026-07-16 18:23:41.121131,-180,110,1550.0,0.00775260944
2026-07-16 18:23:43.338315,-180,115,1550.0,0.00647560041
2026-07-16 18:23:45.568600,-180,120,1550.0,0.00498694647
2026-07-16 18:23:47.815743,-180,125,1550.0,0.00344204716
2026-07-16 18:23:50.032757,-180,130,1550.0,0.00206596102
2026-07-16 18:23:52.269435,-180,135,1550.0,0.000901951746
2026-07-16 18:23:54.491807,-180,140,1550.0,0.00019525364
2026-07-16 18:23:56.721824,-180,145,1550.0,1.35748041e-05
2026-07-16 18:23:58.967270,-180,150,1550.0,0.000389689958
2026-07-16 18:24:01.187956,-180,155,1550.0,0.00124177116
2026-07-16 18:24:03.420040,-180,160,1550.0,0.00250487635
2026-07-16 18:24:05.666977,-180,165,1550.0,0.00392261753
2026-07-16 18:24:07.892154,-180,170,1550.0,0.00556719769
2026-07-16 18:24:10.121940,-180,175,1550.0,0.00706734927
2026-07-16 18:24:15.322537,-175,-180,1550.0,0.00822016504
